Passage,Week of entry,Number of crossings
Suez,2023-10-16,447
Suez,2023-10-23,461
Suez,2023-10-30,468
Suez,2023-11-06,467
Suez,2023-11-13,469
Suez,2023-11-20,453
Suez,2023-11-27,451
Suez,2023-12-04,427
Suez,2023-12-11,452
Suez,2023-12-18,407
Suez,2023-12-25,341
Suez,2024-01-01,316
Suez,2024-01-08,280
Suez,2024-01-15,271
Suez,2024-01-22,242
Suez,2024-01-29,221
Suez,2024-02-05,238
Suez,2024-02-12,210
Suez,2024-02-19,233
Suez,2024-02-26,212
Suez,2024-03-04,203
Suez,2024-03-11,169
Suez,2024-03-18,176
Suez,2024-03-25,157
Suez,2024-04-01,160
Taiwan Strait,2022-01-03,952
Taiwan Strait,2022-01-10,909
Taiwan Strait,2022-01-17,955
Taiwan Strait,2022-01-24,983
Taiwan Strait,2022-01-31,946
Taiwan Strait,2022-02-07,1133
Taiwan Strait,2022-02-14,1011
Taiwan Strait,2022-02-21,1012
Taiwan Strait,2022-02-28,1008
Taiwan Strait,2022-03-07,1232
Taiwan Strait,2022-03-14,1088
Taiwan Strait,2022-03-21,1017
Taiwan Strait,2022-03-28,1230
Taiwan Strait,2022-04-04,1447
Taiwan Strait,2022-04-11,1141
Taiwan Strait,2022-04-18,1081
Taiwan Strait,2022-04-25,1114
Taiwan Strait,2022-05-02,1326
Taiwan Strait,2022-05-09,917
Taiwan Strait,2022-05-16,1228
Taiwan Strait,2022-05-23,1246
Taiwan Strait,2022-05-30,1398
Taiwan Strait,2022-06-06,1301
Taiwan Strait,2022-06-13,1264
Taiwan Strait,2022-06-20,1287
Taiwan Strait,2022-06-27,1289
Taiwan Strait,2022-07-04,1322
Taiwan Strait,2022-07-11,1323
Taiwan Strait,2022-07-18,1364
Taiwan Strait,2022-07-25,1438
Taiwan Strait,2022-08-01,1291
Taiwan Strait,2022-08-08,1305
Taiwan Strait,2022-08-15,1311
Taiwan Strait,2022-08-22,1229
Taiwan Strait,2022-08-29,1496
Taiwan Strait,2022-09-05,1462
Taiwan Strait,2022-09-12,1307
Taiwan Strait,2022-09-19,1163
Taiwan Strait,2022-09-26,1252
Taiwan Strait,2022-10-03,1151
Taiwan Strait,2022-10-10,1030
Taiwan Strait,2022-10-17,1083
Taiwan Strait,2022-10-24,1092
Taiwan Strait,2022-10-31,1184
Taiwan Strait,2022-11-07,1255
Taiwan Strait,2022-11-14,1167
Taiwan Strait,2022-11-21,1285
Taiwan Strait,2022-11-28,1154
Taiwan Strait,2022-12-05,1196
Taiwan Strait,2022-12-12,1200
Taiwan Strait,2022-12-19,1094
Taiwan Strait,2022-12-26,1165
Taiwan Strait,2023-01-02,1229
Taiwan Strait,2023-01-09,1150
Taiwan Strait,2023-01-16,1072
Taiwan Strait,2023-01-23,1016
Taiwan Strait,2023-01-30,1125
Taiwan Strait,2023-02-06,1261
Taiwan Strait,2023-02-13,1207
Taiwan Strait,2023-02-20,1097
Taiwan Strait,2023-02-27,1297
Taiwan Strait,2023-03-06,1392
Taiwan Strait,2023-03-13,1301
Taiwan Strait,2023-03-20,1248
Taiwan Strait,2023-03-27,1326
Taiwan Strait,2023-04-03,1284
Taiwan Strait,2023-04-10,1378
Taiwan Strait,2023-04-17,1266
Taiwan Strait,2023-04-24,1274
Taiwan Strait,2023-05-01,1365
Taiwan Strait,2023-05-08,1314
Taiwan Strait,2023-05-15,1065
Taiwan Strait,2023-05-22,1389
Taiwan Strait,2023-05-29,1541
Taiwan Strait,2023-06-05,1326
Taiwan Strait,2023-06-12,1285
Taiwan Strait,2023-06-19,1247
Taiwan Strait,2023-06-26,1270
Taiwan Strait,2023-07-03,1252
Taiwan Strait,2023-07-10,1345
Taiwan Strait,2023-07-17,1312
Taiwan Strait,2023-07-24,1175
Taiwan Strait,2023-07-31,1513
Taiwan Strait,2023-08-07,1385
Taiwan Strait,2023-08-14,1100
Taiwan Strait,2023-08-21,1219
Taiwan Strait,2023-08-28,906
Taiwan Strait,2023-09-04,1179
Taiwan Strait,2023-09-11,1340
Taiwan Strait,2023-09-18,1065
Taiwan Strait,2023-09-25,1068
Taiwan Strait,2023-10-02,803
Taiwan Strait,2023-10-09,899
Taiwan Strait,2023-10-16,1037
Taiwan Strait,2023-10-23,1083
Taiwan Strait,2023-10-30,1262
Taiwan Strait,2023-11-06,1101
Taiwan Strait,2023-11-13,1044
Taiwan Strait,2023-11-20,1026
Taiwan Strait,2023-11-27,1089
Taiwan Strait,2023-12-04,1378
Taiwan Strait,2023-12-11,1038
Taiwan Strait,2023-12-18,967
Taiwan Strait,2023-12-25,1132
Taiwan Strait,2024-01-01,1261
Taiwan Strait,2024-01-08,1199
Taiwan Strait,2024-01-15,1115
Taiwan Strait,2024-01-22,977
Taiwan Strait,2024-01-29,1141
Taiwan Strait,2024-02-05,1093
Taiwan Strait,2024-02-12,1086
Taiwan Strait,2024-02-19,868
Taiwan Strait,2024-02-26,1212
Taiwan Strait,2024-03-04,1273
Taiwan Strait,2024-03-11,1387
Taiwan Strait,2024-03-18,1284
Taiwan Strait,2024-03-25,1289
Taiwan Strait,2024-04-01,1178
