Passage,Week of entry,Number of crossings
Taiwan Strait,10/07/2023,1345
Taiwan Strait,17/07/2023,1312
Taiwan Strait,24/07/2023,1175
Taiwan Strait,31/07/2023,1513
Taiwan Strait,07/08/2023,1385
Taiwan Strait,14/08/2023,1100
Taiwan Strait,21/08/2023,1219
Taiwan Strait,28/08/2023,906
Taiwan Strait,04/09/2023,1179
Taiwan Strait,11/09/2023,1340
Taiwan Strait,18/09/2023,1065
Taiwan Strait,25/09/2023,1068
Taiwan Strait,02/10/2023,803
Taiwan Strait,09/10/2023,899
Taiwan Strait,16/10/2023,1037
Taiwan Strait,23/10/2023,1083
Taiwan Strait,30/10/2023,1262
Taiwan Strait,06/11/2023,1101
Taiwan Strait,13/11/2023,1044
Taiwan Strait,20/11/2023,1026
Taiwan Strait,27/11/2023,1089
Taiwan Strait,04/12/2023,1378
Taiwan Strait,11/12/2023,1038
Taiwan Strait,18/12/2023,967
Taiwan Strait,25/12/2023,1132
Taiwan Strait,01/01/2024,1261
Taiwan Strait,08/01/2024,1199
Taiwan Strait,15/01/2024,1115
Taiwan Strait,22/01/2024,977
Taiwan Strait,29/01/2024,1141
Taiwan Strait,05/02/2024,1093
Taiwan Strait,12/02/2024,1086
Taiwan Strait,19/02/2024,868
Taiwan Strait,26/02/2024,1212
Taiwan Strait,04/03/2024,1273
Taiwan Strait,11/03/2024,1387
Taiwan Strait,18/03/2024,1284
Taiwan Strait,25/03/2024,1289
Taiwan Strait,01/04/2024,1178
"Source: Automatic identification system (AIS) from Exact-Earth and Spire Global, analysed by the Office for National Statistics",,
"x: Data have been suppressed where the number of contributors (vessels) is equal or less than 5, or the 2 largest contributions to that cell make up for more than 90% of the cell total.",,
Outliers have been removed.,,
